Name,State__c,Vehicle_Type__c,Tier__c,Coverage_Limit__c,Deductible__c,Monthly_Rate__c,Annual_Rate__c,Perk__c
Premium,Arizona,Convertible,Premium,100000,500,231,2772,Roadside + Rental
Elite,Arizona,Convertible,Elite,250000,250,332,3984,Full concierge
Ultra,Arizona,Convertible,Ultra,500000,0,461,5532,Full concierge + Zero deductible
Basic,Arizona,Sports,Basic,25000,1000,99,1188,
Standard,Arizona,Sports,Standard,50000,750,165,1980,Roadside
Premium,Arizona,Sports,Premium,100000,500,264,3168,Roadside + Rental
Elite,Arizona,Sports,Elite,250000,250,379,4548,Full concierge
Ultra,Arizona,Sports,Ultra,500000,0,527,6324,Full concierge + Zero deductible
Basic,Arizona,Motorcycle,Basic,25000,1000,80,960,
Standard,Arizona,Motorcycle,Standard,50000,750,134,1608,Roadside
Premium,Arizona,Motorcycle,Premium,100000,500,214,2568,Roadside + Rental
Elite,Arizona,Motorcycle,Elite,250000,250,308,3696,Full concierge
Ultra,Arizona,Motorcycle,Ultra,500000,0,428,5136,Full concierge + Zero deductible
Basic,Washington,Sedan,Basic,25000,1000,62,744,
Standard,Washington,Sedan,Standard,50000,750,104,1248,Roadside
Premium,Washington,Sedan,Premium,100000,500,166,1992,Roadside + Rental
Elite,Washington,Sedan,Elite,250000,250,239,2868,Full concierge
Ultra,Washington,Sedan,Ultra,500000,0,333,3996,Full concierge + Zero deductible
Basic,Washington,Hatchback,Basic,25000,1000,59,708,
Standard,Washington,Hatchback,Standard,50000,750,99,1188,Roadside
Premium,Washington,Hatchback,Premium,100000,500,158,1896,Roadside + Rental
Elite,Washington,Hatchback,Elite,250000,250,227,2724,Full concierge
Ultra,Washington,Hatchback,Ultra,500000,0,316,3792,Full concierge + Zero deductible
Basic,Washington,Van,Basic,25000,1000,66,792,
Standard,Washington,Van,Standard,50000,750,109,1308,Roadside
Premium,Washington,Van,Premium,100000,500,175,2100,Roadside + Rental
Elite,Washington,Van,Elite,250000,250,251,3012,Full concierge
Ultra,Washington,Van,Ultra,500000,0,349,4188,Full concierge + Zero deductible
Basic,Washington,SUV,Basic,25000,1000,72,864,
Standard,Washington,SUV,Standard,50000,750,120,1440,Roadside
Premium,Washington,SUV,Premium,100000,500,191,2292,Roadside + Rental
Elite,Washington,SUV,Elite,250000,250,275,3300,Full concierge
Ultra,Washington,SUV,Ultra,500000,0,383,4596,Full concierge + Zero deductible
Basic,Washington,Coupe,Basic,25000,1000,75,900,
Standard,Washington,Coupe,Standard,50000,750,125,1500,Roadside
Premium,Washington,Coupe,Premium,100000,500,200,2400,Roadside + Rental
Elite,Washington,Coupe,Elite,250000,250,287,3444,Full concierge
Ultra,Washington,Coupe,Ultra,500000,0,399,4788,Full concierge + Zero deductible
Basic,Washington,Truck,Basic,25000,1000,78,936,
Standard,Washington,Truck,Standard,50000,750,130,1560,Roadside
Premium,Washington,Truck,Premium,100000,500,208,2496,Roadside + Rental
Elite,Washington,Truck,Elite,250000,250,299,3588,Full concierge
Ultra,Washington,Truck,Ultra,500000,0,416,4992,Full concierge + Zero deductible
Basic,Washington,Hybrid,Basic,25000,1000,69,828,
Standard,Washington,Hybrid,Standard,50000,750,114,1368,Roadside
Premium,Washington,Hybrid,Premium,100000,500,183,2196,Roadside + Rental
Elite,Washington,Hybrid,Elite,250000,250,263,3156,Full concierge
Ultra,Washington,Hybrid,Ultra,500000,0,366,4392,Full concierge + Zero deductible
Basic,Washington,Electric,Basic,25000,1000,75,900,
Standard,Washington,Electric,Standard,50000,750,125,1500,Roadside
Premium,Washington,Electric,Premium,100000,500,200,2400,Roadside + Rental
Elite,Washington,Electric,Elite,250000,250,287,3444,Full concierge
Ultra,Washington,Electric,Ultra,500000,0,399,4788,Full concierge + Zero deductible
Basic,Washington,Luxury,Basic,25000,1000,94,1128,
Standard,Washington,Luxury,Standard,50000,750,156,1872,Roadside
Premium,Washington,Luxury,Premium,100000,500,250,3000,Roadside + Rental
Elite,Washington,Luxury,Elite,250000,250,359,4308,Full concierge
Ultra,Washington,Luxury,Ultra,500000,0,499,5988,Full concierge + Zero deductible
Basic,Washington,Convertible,Basic,25000,1000,87,1044,
Standard,Washington,Convertible,Standard,50000,750,146,1752,Roadside
Premium,Washington,Convertible,Premium,100000,500,233,2796,Roadside + Rental
Elite,Washington,Convertible,Elite,250000,250,335,4020,Full concierge
Ultra,Washington,Convertible,Ultra,500000,0,466,5592,Full concierge + Zero deductible
Basic,Washington,Sports,Basic,25000,1000,100,1200,
Standard,Washington,Sports,Standard,50000,750,166,1992,Roadside
Premium,Washington,Sports,Premium,100000,500,266,3192,Roadside + Rental
Elite,Washington,Sports,Elite,250000,250,383,4596,Full concierge
Ultra,Washington,Sports,Ultra,500000,0,532,6384,Full concierge + Zero deductible
Basic,Washington,Motorcycle,Basic,25000,1000,81,972,
Standard,Washington,Motorcycle,Standard,50000,750,135,1620,Roadside
Premium,Washington,Motorcycle,Premium,100000,500,216,2592,Roadside + Rental
Elite,Washington,Motorcycle,Elite,250000,250,311,3732,Full concierge
Ultra,Washington,Motorcycle,Ultra,500000,0,433,5196,Full concierge + Zero deductible
Basic,Ohio,Sedan,Basic,25000,1000,60,720,
Standard,Ohio,Sedan,Standard,50000,750,100,1200,Roadside
Premium,Ohio,Sedan,Premium,100000,500,160,1920,Roadside + Rental
Elite,Ohio,Sedan,Elite,250000,250,230,2760,Full concierge
Ultra,Ohio,Sedan,Ultra,500000,0,320,3840,Full concierge + Zero deductible
Basic,Ohio,Hatchback,Basic,25000,1000,57,684,
Standard,Ohio,Hatchback,Standard,50000,750,95,1140,Roadside
Premium,Ohio,Hatchback,Premium,100000,500,152,1824,Roadside + Rental
Elite,Ohio,Hatchback,Elite,250000,250,219,2628,Full concierge
Ultra,Ohio,Hatchback,Ultra,500000,0,304,3648,Full concierge + Zero deductible
Basic,Ohio,Van,Basic,25000,1000,63,756,
Standard,Ohio,Van,Standard,50000,750,105,1260,Roadside
Premium,Ohio,Van,Premium,100000,500,168,2016,Roadside + Rental
Elite,Ohio,Van,Elite,250000,250,242,2904,Full concierge
Ultra,Ohio,Van,Ultra,500000,0,336,4032,Full concierge + Zero deductible
Basic,Ohio,SUV,Basic,25000,1000,69,828,
Standard,Ohio,SUV,Standard,50000,750,115,1380,Roadside
Premium,Ohio,SUV,Premium,100000,500,184,2208,Roadside + Rental
Elite,Ohio,SUV,Elite,250000,250,265,3180,Full concierge
Ultra,Ohio,SUV,Ultra,500000,0,368,4416,Full concierge + Zero deductible
Basic,Ohio,Coupe,Basic,25000,1000,72,864,
Standard,Ohio,Coupe,Standard,50000,750,120,1440,Roadside
Premium,Ohio,Coupe,Premium,100000,500,192,2304,Roadside + Rental
Elite,Ohio,Coupe,Elite,250000,250,276,3312,Full concierge
Ultra,Ohio,Coupe,Ultra,500000,0,384,4608,Full concierge + Zero deductible
Basic,Ohio,Truck,Basic,25000,1000,75,900,
Standard,Ohio,Truck,Standard,50000,750,125,1500,Roadside
Premium,Ohio,Truck,Premium,100000,500,200,2400,Roadside + Rental
Elite,Ohio,Truck,Elite,250000,250,288,3456,Full concierge
Ultra,Ohio,Truck,Ultra,500000,0,400,4800,Full concierge + Zero deductible
Basic,Ohio,Hybrid,Basic,25000,1000,66,792,
Standard,Ohio,Hybrid,Standard,50000,750,110,1320,Roadside
Premium,Ohio,Hybrid,Premium,100000,500,176,2112,Roadside + Rental
Elite,Ohio,Hybrid,Elite,250000,250,253,3036,Full concierge
Ultra,Ohio,Hybrid,Ultra,500000,0,352,4224,Full concierge + Zero deductible
Basic,Ohio,Electric,Basic,25000,1000,72,864,
Standard,Ohio,Electric,Standard,50000,750,120,1440,Roadside
Premium,Ohio,Electric,Premium,100000,500,192,2304,Roadside + Rental
Elite,Ohio,Electric,Elite,250000,250,276,3312,Full concierge
Ultra,Ohio,Electric,Ultra,500000,0,384,4608,Full concierge + Zero deductible
Basic,Ohio,Luxury,Basic,25000,1000,90,1080,
Standard,Ohio,Luxury,Standard,50000,750,150,1800,Roadside
Premium,Ohio,Luxury,Premium,100000,500,240,2880,Roadside + Rental
Elite,Ohio,Luxury,Elite,250000,250,345,4140,Full concierge
Ultra,Ohio,Luxury,Ultra,500000,0,480,5760,Full concierge + Zero deductible
Basic,Ohio,Convertible,Basic,25000,1000,84,1008,
Standard,Ohio,Convertible,Standard,50000,750,140,1680,Roadside
Premium,Ohio,Convertible,Premium,100000,500,224,2688,Roadside + Rental
Elite,Ohio,Convertible,Elite,250000,250,322,3864,Full concierge
Ultra,Ohio,Convertible,Ultra,500000,0,448,5376,Full concierge + Zero deductible
Basic,Ohio,Sports,Basic,25000,1000,96,1152,
Standard,Ohio,Sports,Standard,50000,750,160,1920,Roadside
Premium,Ohio,Sports,Premium,100000,500,256,3072,Roadside + Rental
Elite,Ohio,Sports,Elite,250000,250,368,4416,Full concierge
Ultra,Ohio,Sports,Ultra,500000,0,512,6144,Full concierge + Zero deductible
Basic,Ohio,Motorcycle,Basic,25000,1000,78,936,
Standard,Ohio,Motorcycle,Standard,50000,750,130,1560,Roadside
Premium,Ohio,Motorcycle,Premium,100000,500,208,2496,Roadside + Rental
Elite,Ohio,Motorcycle,Elite,250000,250,299,3588,Full concierge
Ultra,Ohio,Motorcycle,Ultra,500000,0,416,4992,Full concierge + Zero deductible
